Format Version,1.22,Take Name,Kiryu's radar 3 turning,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.42.05.168 AM,Total Frames in Take,6671,Total Exported Frames,6671,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
3384,9.400000,0.004798,0.205109,0.067839,-0.976374,-2.255522,0.871654,-3.167121,0.000000,-2.118828,0.852963,-3.229335,0.863966,-2.203303,0.858111,-3.024512,0.832632,-2.110192,0.846330,-3.107705,0.895343,-2.392087,0.899431,-3.301004,0.919587,-2.453198,0.901438,-3.173050,0.743688,-2.118828,0.852963,-3.229335,-2.203303,0.858111,-3.024512,-2.110192,0.846330,-3.107705,-2.392087,0.899431,-3.301004,-2.453198,0.901438,-3.173050
3385,9.402778,-0.977825,0.091271,-0.188486,0.000439,-2.254575,0.871356,-3.168887,0.000000,-2.203242,0.858274,-3.027117,0.854374,-2.116639,0.852399,-3.231029,0.851090,-2.110525,0.847503,-3.105856,0.892398,-2.445723,0.899391,-3.173673,0.927025,-2.396748,0.899214,-3.306760,0.732446,-2.203242,0.858274,-3.027117,-2.116639,0.852399,-3.231029,-2.110525,0.847503,-3.105856,-2.445723,0.899391,-3.173673,-2.396748,0.899214,-3.306760
3386,9.405556,0.003774,0.205582,0.067347,-0.976313,-2.253907,0.871434,-3.170803,0.000000,-2.117121,0.853039,-3.232900,0.871463,-2.201824,0.857715,-3.028161,0.856914,-2.108607,0.846206,-3.111274,0.883394,-2.390366,0.899255,-3.304785,0.938391,-2.451618,0.900955,-3.176894,0.751303,-2.117121,0.853038,-3.232900,-2.201824,0.857715,-3.028161,-2.108607,0.846206,-3.111274,-2.390366,0.899255,-3.304785,-2.451618,0.900955,-3.176894
3387,9.408333,0.004598,0.206166,0.066154,-0.976267,-2.253048,0.871843,-3.172592,0.000000,-2.116161,0.853584,-3.234507,0.874082,-2.201087,0.858538,-3.029866,0.883174,-2.107760,0.847034,-3.112857,0.902687,-2.389422,0.899100,-3.306776,0.937196,-2.450811,0.900957,-3.178953,0.759310,-2.116161,0.853584,-3.234507,-2.201087,0.858538,-3.029866,-2.107760,0.847034,-3.112857,-2.389422,0.899100,-3.306776,-2.450811,0.900957,-3.178953
3388,9.411111,0.006535,0.205704,0.066530,-0.976328,-2.252266,0.871896,-3.174432,0.000000,-2.115480,0.853207,-3.236443,0.855647,-2.200157,0.859020,-3.031722,0.832729,-2.106946,0.847078,-3.114780,0.860304,-2.388757,0.898883,-3.308553,0.935810,-2.449991,0.901290,-3.180664,0.758840,-2.115480,0.853207,-3.236443,-2.200157,0.859020,-3.031722,-2.106946,0.847078,-3.114780,-2.388757,0.898883,-3.308553,-2.449991,0.901290,-3.180664
3389,9.413889,0.004871,0.205178,0.067781,-0.976363,-2.251686,0.871704,-3.176185,0.000000,-2.114982,0.853012,-3.238378,0.838894,-2.199485,0.858190,-3.033567,0.856056,-2.106361,0.846402,-3.116746,0.878849,-2.388236,0.899445,-3.310091,0.923408,-2.449363,0.901470,-3.182145,0.752230,-2.114982,0.853012,-3.238378,-2.199485,0.858190,-3.033567,-2.106361,0.846402,-3.116746,-2.388236,0.899445,-3.310091,-2.449363,0.901470,-3.182145
3390,9.416667,0.005332,0.205290,0.068578,-0.976281,-2.250837,0.871374,-3.178102,0.000000,-2.114154,0.852406,-3.240256,0.800360,-2.198688,0.857852,-3.035466,0.843431,-2.105569,0.845852,-3.118619,0.876597,-2.387312,0.899276,-3.312051,0.880168,-2.448461,0.901483,-3.184119,0.712972,-2.114154,0.852406,-3.240256,-2.198688,0.857852,-3.035466,-2.105569,0.845852,-3.118619,-2.387312,0.899276,-3.312051,-2.448461,0.901483,-3.184119
3391,9.419444,0.003601,0.205957,0.067951,-0.976192,-2.250239,0.871451,-3.179708,0.000000,-2.113423,0.852936,-3.241705,0.882243,-2.198287,0.857598,-3.037032,0.836810,-2.105016,0.846029,-3.120075,0.911769,-2.386558,0.899497,-3.313786,0.925580,-2.447912,0.901198,-3.185944,0.767667,-2.113423,0.852936,-3.241705,-2.198287,0.857598,-3.037032,-2.105016,0.846029,-3.120075,-2.386558,0.899497,-3.313786,-2.447912,0.901198,-3.185944
3392,9.422222,0.004432,0.205926,0.066018,-0.976328,-2.249684,0.871930,-3.181714,0.000000,-2.112819,0.853737,-3.243700,0.814070,-2.197650,0.858600,-3.039017,0.843355,-2.104359,0.847153,-3.122055,0.885412,-2.386130,0.899181,-3.315826,0.896793,-2.447459,0.900979,-3.187973,0.765905,-2.112819,0.853737,-3.243700,-2.197650,0.858600,-3.039017,-2.104359,0.847153,-3.122055,-2.386130,0.899181,-3.315826,-2.447459,0.900979,-3.187973
3393,9.425000,0.004095,0.205339,0.066976,-0.976388,-2.248950,0.871774,-3.183288,0.000000,-2.112187,0.853414,-3.245447,0.814455,-2.196781,0.858193,-3.040665,0.835871,-2.103602,0.846678,-3.123820,0.850170,-2.385499,0.899413,-3.317216,0.898599,-2.446682,0.901173,-3.189293,0.682460,-2.112187,0.853414,-3.245447,-2.196781,0.858193,-3.040665,-2.103602,0.846678,-3.123820,-2.385499,0.899413,-3.317216,-2.446681,0.901173,-3.189293
3394,9.427778,0.005039,0.205643,0.065643,-0.976410,-2.248168,0.871766,-3.185276,0.000000,-2.111336,0.853559,-3.247329,0.871385,-2.196032,0.858647,-3.042597,0.845077,-2.102790,0.847137,-3.125682,0.868067,-2.384717,0.898775,-3.319332,0.940257,-2.445961,0.900710,-3.191440,0.701122,-2.111336,0.853559,-3.247329,-2.196032,0.858647,-3.042597,-2.102790,0.847137,-3.125682,-2.384717,0.898775,-3.319332,-2.445961,0.900710,-3.191440
3395,9.430556,0.006305,0.205369,0.065949,-0.976440,-2.247353,0.871559,-3.187008,0.000000,-2.110585,0.853055,-3.249116,0.813748,-2.195130,0.858711,-3.044336,0.809813,-2.101961,0.846905,-3.127461,0.867128,-2.383967,0.898411,-3.321029,0.901220,-2.445118,0.900709,-3.193099,0.709180,-2.110585,0.853055,-3.249116,-2.195130,0.858711,-3.044336,-2.101961,0.846905,-3.127461,-2.383967,0.898411,-3.321029,-2.445118,0.900709,-3.193099
3396,9.433333,0.004833,0.205303,0.067514,-0.976355,-2.246638,0.871677,-3.188806,0.000000,-2.109909,0.853056,-3.250963,0.829927,-2.194466,0.858199,-3.046174,0.841556,-2.101315,0.846456,-3.129329,0.858341,-2.383170,0.899339,-3.322747,0.925891,-2.444330,0.901337,-3.194817,0.754290,-2.109909,0.853056,-3.250963,-2.194466,0.858199,-3.046174,-2.101315,0.846456,-3.129329,-2.383170,0.899339,-3.322747,-2.444330,0.901337,-3.194817
3397,9.436111,0.005248,0.205497,0.065980,-0.976417,-2.246001,0.871900,-3.190813,0.000000,-2.109202,0.853576,-3.252904,0.827409,-2.193830,0.858778,-3.048147,0.855107,-2.100623,0.847178,-3.131258,0.873833,-2.382572,0.898978,-3.324832,0.913717,-2.443774,0.900990,-3.196922,0.729478,-2.109202,0.853576,-3.252904,-2.193830,0.858778,-3.048147,-2.100623,0.847178,-3.131258,-2.382572,0.898978,-3.324832,-2.443774,0.900990,-3.196922
3398,9.438889,0.006863,0.205317,0.065931,-0.976448,-2.245302,0.871806,-3.192671,0.000000,-2.108549,0.853209,-3.254783,0.854002,-2.193056,0.859104,-3.049994,0.846587,-2.099904,0.847190,-3.133123,0.898996,-2.381935,0.898539,-3.326696,0.893888,-2.443063,0.900989,-3.198758,0.738986,-2.108549,0.853209,-3.254783,-2.193056,0.859104,-3.049994,-2.099904,0.847190,-3.133123,-2.381935,0.898539,-3.326696,-2.443063,0.900989,-3.198758
3399,9.441667,0.004979,0.205155,0.067493,-0.976387,-2.244403,0.871302,-3.194286,0.000000,-2.107694,0.852662,-3.256482,0.826695,-2.192185,0.857862,-3.051667,0.850655,-2.099061,0.846095,-3.134849,0.864869,-2.380977,0.898928,-3.328191,0.935411,-2.442097,0.900963,-3.200241,0.720026,-2.107694,0.852662,-3.256482,-2.192185,0.857862,-3.051667,-2.099061,0.846095,-3.134849,-2.380977,0.898928,-3.328191,-2.442097,0.900963,-3.200241
3400,9.444444,0.005009,0.205238,0.066689,-0.976425,-2.243746,0.871433,-3.196153,0.000000,-2.107000,0.852982,-3.258323,0.903294,-2.191526,0.858131,-3.053522,0.856262,-2.098373,0.846477,-3.136687,0.897152,-2.380345,0.898793,-3.330087,0.952541,-2.441485,0.900783,-3.202146,0.751638,-2.107000,0.852982,-3.258323,-2.191526,0.858131,-3.053522,-2.098373,0.846477,-3.136687,-2.380345,0.898793,-3.330087,-2.441485,0.900783,-3.202146
3401,9.447222,0.005882,0.205223,0.066461,-0.976438,-2.242999,0.871164,-3.197971,0.000000,-2.106261,0.852613,-3.260129,0.897038,-2.190755,0.858123,-3.055324,0.852282,-2.097614,0.846328,-3.138482,0.896945,-2.379621,0.898271,-3.331933,0.940247,-2.440741,0.900485,-3.203986,0.748549,-2.106261,0.852613,-3.260129,-2.190755,0.858123,-3.055324,-2.097614,0.846328,-3.138482,-2.379621,0.898271,-3.331933,-2.440741,0.900485,-3.203986
3402,9.450000,0.978042,-0.091002,0.187486,-0.001174,-2.242264,0.870928,-3.199648,0.000000,-2.190650,0.857674,-3.057996,0.844661,-2.104430,0.852182,-3.262082,0.848554,-2.098074,0.847101,-3.136928,0.836270,-2.433444,0.898808,-3.204027,0.920150,-2.384722,0.898874,-3.337208,0.714396,-2.190650,0.857674,-3.057996,-2.104430,0.852182,-3.262082,-2.098074,0.847101,-3.136928,-2.433444,0.898808,-3.204027,-2.384722,0.898874,-3.337208
3403,9.452778,0.978217,-0.089465,0.187317,0.000377,-2.241565,0.871362,-3.201735,0.000000,-2.189823,0.858743,-3.060071,0.882395,-2.103727,0.852732,-3.264194,0.866356,-2.097274,0.848114,-3.139027,0.880515,-2.432816,0.898757,-3.206084,0.971549,-2.384183,0.898466,-3.339297,0.717397,-2.189823,0.858743,-3.060071,-2.103727,0.852732,-3.264194,-2.097274,0.848114,-3.139027,-2.432816,0.898757,-3.206084,-2.384183,0.898466,-3.339297
3404,9.455556,0.006538,0.205004,0.066565,-0.976473,-2.240603,0.871404,-3.203465,0.000000,-2.103906,0.852714,-3.265672,0.871837,-2.188290,0.858511,-3.060830,0.865510,-2.095198,0.846571,-3.144023,0.902965,-2.377283,0.898413,-3.337387,0.920534,-2.438335,0.900811,-3.209411,0.762974,-2.103906,0.852714,-3.265672,-2.188290,0.858511,-3.060830,-2.095198,0.846571,-3.144023,-2.377283,0.898413,-3.337387,-2.438335,0.900811,-3.209411
3405,9.458333,0.002965,0.204823,0.067397,-0.976472,-2.239938,0.870994,-3.205276,0.000000,-2.103236,0.852739,-3.267601,0.845652,-2.187647,0.857046,-3.062732,0.857859,-2.094546,0.845702,-3.145998,0.893130,-2.376596,0.899009,-3.339014,0.920832,-2.437665,0.900476,-3.211033,0.733147,-2.103236,0.852739,-3.267601,-2.187647,0.857046,-3.062732,-2.094546,0.845702,-3.145998,-2.376596,0.899009,-3.339014,-2.437665,0.900476,-3.211033
3406,9.461111,0.002903,0.205147,0.068795,-0.976306,-2.238989,0.870533,-3.207022,0.000000,-2.102292,0.851946,-3.269262,0.828698,-2.186838,0.856349,-3.064451,0.829322,-2.093709,0.844806,-3.147657,0.876910,-2.375473,0.899006,-3.340841,0.883228,-2.436630,0.900557,-3.212902,0.710328,-2.102292,0.851946,-3.269262,-2.186838,0.856349,-3.064451,-2.093709,0.844806,-3.147657,-2.375473,0.899006,-3.340841,-2.436630,0.900557,-3.212902
3407,9.463889,0.003212,0.204970,0.067955,-0.976401,-2.238249,0.870825,-3.208721,0.000000,-2.101552,0.852389,-3.271003,0.817278,-2.186015,0.856853,-3.066159,0.833358,-2.092904,0.845375,-3.149395,0.871413,-2.374835,0.898967,-3.342507,0.900856,-2.435938,0.900543,-3.214543,0.711929,-2.101552,0.852389,-3.271003,-2.186015,0.856853,-3.066159,-2.092904,0.845375,-3.149395,-2.374835,0.898967,-3.342507,-2.435938,0.900543,-3.214543
3408,9.466667,0.003111,0.205232,0.067654,-0.976367,-2.237727,0.870940,-3.210528,0.000000,-2.100984,0.852592,-3.272736,0.861552,-2.185561,0.856995,-3.067938,0.848749,-2.092398,0.845579,-3.151125,0.863677,-2.374259,0.899001,-3.344385,0.928018,-2.435431,0.900534,-3.216454,0.723429,-2.100984,0.852592,-3.272736,-2.185561,0.856995,-3.067938,-2.092398,0.845579,-3.151125,-2.374258,0.899001,-3.344385,-2.435431,0.900534,-3.216454
3409,9.469444,0.003932,0.204843,0.066581,-0.976520,-2.237117,0.871151,-3.212456,0.000000,-2.100401,0.852922,-3.274756,0.830965,-2.184793,0.857583,-3.069888,0.837559,-2.091688,0.846166,-3.153139,0.895431,-2.373824,0.898703,-3.346240,0.916849,-2.434880,0.900382,-3.218255,0.716487,-2.100401,0.852922,-3.274756,-2.184793,0.857583,-3.069888,-2.091688,0.846166,-3.153139,-2.373824,0.898703,-3.346240,-2.434880,0.900382,-3.218255
3410,9.472222,0.004212,0.205286,0.066587,-0.976425,-2.236321,0.870937,-3.214038,0.000000,-2.099553,0.852652,-3.276209,0.840296,-2.184122,0.857448,-3.071417,0.850290,-2.090946,0.845968,-3.154581,0.886517,-2.372908,0.898427,-3.347958,0.915864,-2.434074,0.900191,-3.220027,0.725435,-2.099553,0.852652,-3.276209,-2.184122,0.857448,-3.071417,-2.090946,0.845968,-3.154581,-2.372908,0.898427,-3.347958,-2.434074,0.900191,-3.220027
3411,9.475000,0.003238,0.204938,0.065755,-0.976558,-2.235395,0.870748,-3.215921,0.000000,-2.098628,0.852842,-3.278205,0.829517,-2.183081,0.857136,-3.073354,0.858897,-2.089933,0.845980,-3.156593,0.866187,-2.372120,0.898175,-3.349714,0.933491,-2.433211,0.899609,-3.221742,0.736643,-2.098628,0.852842,-3.278205,-2.183081,0.857136,-3.073354,-2.089933,0.845980,-3.156593,-2.372120,0.898175,-3.349714,-2.433211,0.899609,-3.221742
3412,9.477778,0.003296,0.204235,0.067443,-0.976590,-2.234500,0.870818,-3.217497,0.000000,-2.097880,0.852500,-3.279981,0.869507,-2.182035,0.856936,-3.075011,0.860038,-2.089040,0.845527,-3.158386,0.891618,-2.371318,0.898788,-3.351081,0.906635,-2.432227,0.900339,-3.223025,0.728870,-2.097880,0.852500,-3.279981,-2.182035,0.856936,-3.075011,-2.089040,0.845527,-3.158386,-2.371318,0.898788,-3.351081,-2.432227,0.900339,-3.223025
3413,9.480556,0.003934,0.205161,0.065519,-0.976525,-2.233867,0.871143,-3.219673,0.000000,-2.097075,0.853168,-3.281881,0.833868,-2.181602,0.857752,-3.077066,0.838346,-2.088422,0.846488,-3.160255,0.899071,-2.370548,0.898347,-3.353554,0.903865,-2.431686,0.899961,-3.225607,0.724967,-2.097075,0.853168,-3.281881,-2.181602,0.857752,-3.077066,-2.088422,0.846488,-3.160255,-2.370548,0.898347,-3.353554,-2.431686,0.899961,-3.225607
3414,9.483333,0.007133,0.205328,0.066246,-0.976423,-2.233134,0.871132,-3.221338,0.000000,-2.096395,0.852410,-3.283443,0.900415,-2.180898,0.858449,-3.078656,0.871372,-2.087754,0.846433,-3.161780,0.896342,-2.369748,0.897910,-3.355374,0.926124,-2.430874,0.900456,-3.227437,0.785141,-2.096395,0.852410,-3.283443,-2.180898,0.858449,-3.078656,-2.087754,0.846433,-3.161780,-2.369748,0.897910,-3.355374,-2.430874,0.900456,-3.227437
3415,9.486111,0.008077,0.204482,0.067282,-0.976522,-2.232389,0.870973,-3.223174,0.000000,-2.095808,0.851840,-3.285501,0.811512,-2.179926,0.858350,-3.080570,0.840824,-2.086962,0.846001,-3.163846,0.868173,-2.369180,0.897906,-3.356999,0.919548,-2.430068,0.900766,-3.228955,0.689854,-2.095808,0.851840,-3.285501,-2.179926,0.858350,-3.080570,-2.086962,0.846001,-3.163846,-2.369180,0.897906,-3.356999,-2.430068,0.900766,-3.228955
3416,9.488889,0.006265,0.204696,0.067286,-0.976490,-2.231685,0.870696,-3.225034,0.000000,-2.095048,0.851882,-3.287335,0.859915,-2.179310,0.857611,-3.082440,0.832440,-2.086280,0.845622,-3.165696,0.890874,-2.368406,0.897999,-3.358856,0.926396,-2.429382,0.900364,-3.230844,0.700566,-2.095048,0.851882,-3.287335,-2.179310,0.857611,-3.082440,-2.086280,0.845622,-3.165696,-2.368406,0.897999,-3.358856,-2.429382,0.900364,-3.230844
3417,9.491667,0.977949,-0.091536,0.187716,-0.000080,-2.231113,0.870253,-3.226636,0.000000,-2.179558,0.857204,-3.084943,0.852936,-2.093289,0.851180,-3.288992,0.843579,-2.086976,0.846338,-3.163827,0.861977,-2.422251,0.898406,-3.231125,0.924174,-2.373491,0.898136,-3.364291,0.713586,-2.179558,0.857204,-3.084943,-2.093289,0.851180,-3.288992,-2.086976,0.846338,-3.163827,-2.422251,0.898406,-3.231125,-2.373491,0.898136,-3.364291
3418,9.494444,-0.003759,-0.205445,-0.065925,0.976439,-2.230333,0.870569,-3.228362,0.000000,-2.093515,0.852523,-3.290495,0.862275,-2.178165,0.857072,-3.085730,0.845999,-2.084943,0.845780,-3.168867,0.871099,-2.366912,0.897935,-3.362315,0.921548,-2.428127,0.899533,-3.234405,0.725962,-2.093515,0.852523,-3.290495,-2.178165,0.857072,-3.085730,-2.084942,0.845780,-3.168867,-2.366912,0.897935,-3.362315,-2.428127,0.899533,-3.234405
3419,9.497222,-0.004682,-0.204815,-0.066901,0.976500,-2.229563,0.870882,-3.230212,0.000000,-2.092873,0.852442,-3.292508,0.828758,-2.177231,0.857454,-3.087634,0.840416,-2.084149,0.845839,-3.170883,0.862963,-2.366263,0.898384,-3.364014,0.912379,-2.427299,0.900290,-3.236022,0.737234,-2.092873,0.852442,-3.292508,-2.177231,0.857454,-3.087634,-2.084149,0.845839,-3.170883,-2.366263,0.898384,-3.364014,-2.427299,0.900290,-3.236022
3420,9.500000,-0.003388,-0.204959,-0.066038,0.976534,-2.228661,0.870976,-3.231966,0.000000,-2.091903,0.852974,-3.294242,0.861493,-2.176361,0.857358,-3.089394,0.857100,-2.083217,0.846129,-3.172628,0.875764,-2.365365,0.898463,-3.365768,0.929743,-2.426459,0.899958,-3.237799,0.779062,-2.091903,0.852974,-3.294242,-2.176361,0.857358,-3.089394,-2.083217,0.846129,-3.172628,-2.365365,0.898463,-3.365768,-2.426459,0.899958,-3.237799
3421,9.502778,-0.002105,-0.204612,-0.067393,0.976518,-2.227821,0.870504,-3.233772,0.000000,-2.091133,0.852405,-3.296171,0.861493,-2.175480,0.856331,-3.091269,0.857100,-2.082401,0.845164,-3.174583,0.875764,-2.364532,0.898697,-3.367419,0.929743,-2.425560,0.899923,-3.239416,0.779062,-2.091133,0.852405,-3.296171,-2.175480,0.856331,-3.091269,-2.082401,0.845164,-3.174583,-2.364532,0.898697,-3.367419,-2.425560,0.899924,-3.239416
3422,9.505556,-0.002331,-0.204737,-0.067322,0.976496,-2.227129,0.870377,-3.235778,0.000000,-2.090425,0.852254,-3.298138,0.828662,-2.174819,0.856276,-3.093257,0.866357,-2.081721,0.845072,-3.176545,0.892790,-2.363811,0.898499,-3.369470,0.914296,-2.424868,0.899785,-3.241481,0.732680,-2.090425,0.852254,-3.298138,-2.174819,0.856276,-3.093257,-2.081721,0.845072,-3.176545,-2.363811,0.898499,-3.369470,-2.424868,0.899785,-3.241481
3423,9.508333,-0.003944,-0.204650,-0.067485,0.976498,-2.226437,0.870545,-3.237498,0.000000,-2.089775,0.852097,-3.299855,0.819162,-2.174085,0.856831,-3.094954,0.824354,-2.081031,0.845280,-3.178244,0.896583,-2.363143,0.898390,-3.371223,0.916887,-2.424149,0.900130,-3.243215,0.718907,-2.089775,0.852097,-3.299855,-2.174085,0.856831,-3.094954,-2.081031,0.845280,-3.178244,-2.363143,0.898390,-3.371223,-2.424149,0.900130,-3.243215
3424,9.511111,-0.001931,-0.204424,-0.067178,0.976573,-2.225576,0.870707,-3.239178,0.000000,-2.088902,0.852694,-3.301632,0.799862,-2.173176,0.856521,-3.096698,0.839083,-2.080122,0.845423,-3.180050,0.851071,-2.362350,0.898869,-3.372767,0.917421,-2.423332,0.900030,-3.244742,0.734379,-2.088902,0.852694,-3.301632,-2.173176,0.856521,-3.096698,-2.080122,0.845423,-3.180050,-2.362350,0.898869,-3.372767,-2.423332,0.900030,-3.244742
3425,9.513889,0.978090,-0.091060,0.187201,-0.002173,-2.225028,0.870400,-3.240698,0.000000,-2.173354,0.856873,-3.099093,0.829695,-2.087214,0.851818,-3.303223,0.859573,-2.080807,0.846485,-3.178082,0.865832,-2.416217,0.898237,-3.244945,0.903588,-2.367548,0.898586,-3.378145,0.713120,-2.173354,0.856873,-3.099093,-2.087214,0.851818,-3.303223,-2.080807,0.846485,-3.178082,-2.416217,0.898237,-3.244945,-2.367548,0.898586,-3.378145
3426,9.516667,0.004593,0.204512,0.066172,-0.976614,-2.224134,0.870494,-3.242624,0.000000,-2.087456,0.852250,-3.305004,0.855984,-2.171692,0.857155,-3.100077,0.843518,-2.078645,0.845671,-3.183385,0.879248,-2.360959,0.897784,-3.376341,0.915629,-2.421916,0.899611,-3.248311,0.707882,-2.087456,0.852250,-3.305004,-2.171692,0.857155,-3.100077,-2.078645,0.845671,-3.183385,-2.360959,0.897784,-3.376341,-2.421916,0.899611,-3.248311
3427,9.519444,0.005519,0.204603,0.066145,-0.976592,-2.223181,0.870628,-3.244481,0.000000,-2.086505,0.852225,-3.306819,0.899384,-2.170753,0.857533,-3.101907,0.846025,-2.077704,0.845866,-3.185187,0.899217,-2.359989,0.897717,-3.378257,0.930434,-2.420954,0.899799,-3.250234,0.747229,-2.086505,0.852225,-3.306819,-2.170753,0.857533,-3.101907,-2.077704,0.845866,-3.185187,-2.359989,0.897717,-3.378257,-2.420954,0.899799,-3.250234
3428,9.522222,0.005619,0.204289,0.068284,-0.976510,-2.222498,0.870466,-3.246237,0.000000,-2.085936,0.851529,-3.308667,0.797649,-2.170044,0.857046,-3.103703,0.839322,-2.077093,0.845045,-3.187044,0.852496,-2.359266,0.898230,-3.379915,0.882586,-2.420148,0.900477,-3.251857,0.721460,-2.085936,0.851529,-3.308667,-2.170044,0.857046,-3.103703,-2.077093,0.845045,-3.187044,-2.359266,0.898230,-3.379915,-2.420148,0.900477,-3.251857
3429,9.525000,0.004885,0.204553,0.066422,-0.976587,-2.221822,0.870923,-3.248012,0.000000,-2.085151,0.852566,-3.310377,0.849579,-2.169396,0.857619,-3.105457,0.870166,-2.076351,0.846039,-3.188754,0.872247,-2.358623,0.898233,-3.381750,0.948667,-2.419586,0.900157,-3.253724,0.743098,-2.085151,0.852566,-3.310377,-2.169396,0.857619,-3.105457,-2.076351,0.846039,-3.188754,-2.358623,0.898233,-3.381750,-2.419586,0.900157,-3.253724
3430,9.527778,0.004908,0.204333,0.068159,-0.976513,-2.220884,0.870306,-3.249911,0.000000,-2.084301,0.851526,-3.312341,0.863303,-2.168449,0.856725,-3.107385,0.851305,-2.075477,0.844884,-3.190726,0.890815,-2.357643,0.898175,-3.383577,0.925210,-2.418550,0.900220,-3.255526,0.719769,-2.084301,0.851526,-3.312341,-2.168449,0.856725,-3.107385,-2.075477,0.844884,-3.190726,-2.357643,0.898175,-3.383577,-2.418550,0.900220,-3.255526
3431,9.530556,0.005781,0.204571,0.068422,-0.976440,-2.220252,0.870293,-3.251708,0.000000,-2.083662,0.851291,-3.314056,0.871993,-2.167882,0.856898,-3.109140,0.847637,-2.074889,0.844840,-3.192427,0.891573,-2.356936,0.898064,-3.385471,0.937945,-2.417889,0.900370,-3.257447,0.731590,-2.083662,0.851291,-3.314056,-2.167882,0.856898,-3.109140,-2.074889,0.844840,-3.192427,-2.356936,0.898064,-3.385471,-2.417889,0.900370,-3.257447
3432,9.533333,0.003355,0.204411,0.068920,-0.976450,-2.219314,0.869619,-3.253330,0.000000,-2.082723,0.850929,-3.315769,0.797947,-2.166948,0.855518,-3.110830,0.821023,-2.073952,0.843875,-3.194173,0.852462,-2.355996,0.898051,-3.386957,0.906575,-2.416952,0.899721,-3.258924,0.693014,-2.082723,0.850929,-3.315769,-2.166948,0.855518,-3.110830,-2.073952,0.843875,-3.194173,-2.355996,0.898051,-3.386957,-2.416952,0.899721,-3.258924
3433,9.536111,0.005105,0.204326,0.066846,-0.976605,-2.218943,0.870029,-3.255101,0.000000,-2.082320,0.851533,-3.317527,0.833878,-2.166462,0.856710,-3.112568,0.854285,-2.073468,0.845025,-3.195906,0.867746,-2.355783,0.897434,-3.388780,0.918011,-2.416683,0.899444,-3.260726,0.733577,-2.082320,0.851533,-3.317527,-2.166462,0.856710,-3.112568,-2.073468,0.845025,-3.195906,-2.355783,0.897434,-3.388780,-2.416683,0.899444,-3.260726
3434,9.538889,0.005611,0.204453,0.066732,-0.976583,-2.218327,0.870136,-3.256879,0.000000,-2.081692,0.851575,-3.319259,0.859417,-2.165872,0.856967,-3.114321,0.843925,-2.072862,0.845196,-3.197630,0.863157,-2.355142,0.897398,-3.390612,0.930677,-2.416067,0.899542,-3.262571,0.722389,-2.081692,0.851575,-3.319259,-2.165872,0.856967,-3.114321,-2.072862,0.845196,-3.197630,-2.355142,0.897398,-3.390612,-2.416067,0.899542,-3.262571
3435,9.541667,0.005207,0.204751,0.066334,-0.976550,-2.217529,0.870232,-3.258692,0.000000,-2.080835,0.851837,-3.320995,0.852741,-2.165153,0.857029,-3.116109,0.838282,-2.072078,0.845394,-3.199365,0.899799,-2.354283,0.897444,-3.392498,0.913759,-2.415292,0.899455,-3.264495,0.727920,-2.080835,0.851837,-3.320995,-2.165153,0.857029,-3.116109,-2.072078,0.845394,-3.199365,-2.354283,0.897444,-3.392498,-2.415292,0.899455,-3.264495
