Format Version,1.22,Take Name,Kiryu's radar 2 across and back fast,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-19 10.38.18.323 AM,Total Frames in Take,7368,Total Exported Frames,7368,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
36,0.100000,0.008781,-0.005310,0.040408,-0.999131,-3.760725,0.926893,2.428823,0.000000,-3.661023,0.915487,2.315534,0.854199,-3.653823,0.916415,2.537034,0.839206,-3.602760,0.909528,2.422688,0.900227,-3.941496,0.947056,2.363540,0.919738,-3.944525,0.945980,2.505316,0.753879,-3.661023,0.915487,2.315534,-3.653823,0.916415,2.537034,-3.602760,0.909528,2.422688,-3.941496,0.947056,2.363540,-3.944525,0.945980,2.505316,,,
37,0.102778,0.009049,-0.005292,0.040443,-0.999127,-3.760696,0.926938,2.428837,0.000000,-3.660993,0.915464,2.315556,0.854575,-3.653796,0.916511,2.537055,0.838979,-3.602731,0.909559,2.422714,0.899938,-3.941464,0.947078,2.363541,0.917632,-3.944496,0.946078,2.505317,0.749449,-3.660993,0.915464,2.315556,-3.653796,0.916511,2.537055,-3.602731,0.909559,2.422714,-3.941464,0.947078,2.363541,-3.944496,0.946078,2.505317,,,
38,0.105556,0.009075,-0.005076,0.040644,-0.999120,-3.760762,0.926832,2.428918,0.000000,-3.661014,0.915310,2.315681,0.853951,-3.653913,0.916370,2.537183,0.844497,-3.602801,0.909390,2.422865,0.892943,-3.941493,0.947040,2.363543,0.925243,-3.944587,0.946051,2.505318,0.750168,-3.661014,0.915310,2.315681,-3.653913,0.916370,2.537183,-3.602801,0.909390,2.422865,-3.941493,0.947040,2.363543,-3.944587,0.946051,2.505318,,,
39,0.108333,0.009082,-0.005243,0.040466,-0.999126,-3.760684,0.926913,2.428874,0.000000,-3.660970,0.915426,2.315603,0.851862,-3.653795,0.916489,2.537103,0.836403,-3.602720,0.909526,2.422768,0.898757,-3.941445,0.947056,2.363559,0.923180,-3.944490,0.946067,2.505336,0.753546,-3.660970,0.915426,2.315603,-3.653795,0.916489,2.537103,-3.602720,0.909526,2.422768,-3.941445,0.947056,2.363559,-3.944490,0.946067,2.505336,,,
40,0.111111,0.009089,-0.005036,0.040528,-0.999124,-3.760715,0.926848,2.428970,0.000000,-3.660955,0.915346,2.315740,0.863072,-3.653871,0.916415,2.537243,0.835353,-3.602749,0.909443,2.422930,0.902246,-3.941446,0.947012,2.363580,0.926726,-3.944550,0.946027,2.505355,0.757669,-3.660955,0.915346,2.315740,-3.653871,0.916415,2.537243,-3.602749,0.909443,2.422930,-3.941446,0.947012,2.363580,-3.944550,0.946027,2.505355,,,
41,0.113889,0.008924,-0.004914,0.040744,-0.999118,-3.760714,0.926839,2.428954,0.000000,-3.660930,0.915330,2.315747,0.852987,-3.653903,0.916324,2.537252,0.842300,-3.602754,0.909367,2.422950,0.893887,-3.941419,0.947101,2.363523,0.925039,-3.944561,0.946072,2.505297,0.750908,-3.660930,0.915330,2.315747,-3.653903,0.916324,2.537252,-3.602754,0.909367,2.422950,-3.941419,0.947101,2.363523,-3.944561,0.946072,2.505297,,,
42,0.116667,0.009014,-0.005330,0.040366,-0.999130,-3.760708,0.926865,2.428866,0.000000,-3.661011,0.915414,2.315577,0.851330,-3.653799,0.916446,2.537075,0.837045,-3.602741,0.909510,2.422730,0.899048,-3.941484,0.946982,2.363585,0.922221,-3.944505,0.945971,2.505362,0.753570,-3.661011,0.915414,2.315577,-3.653799,0.916446,2.537075,-3.602741,0.909510,2.422730,-3.941484,0.946982,2.363585,-3.944505,0.945971,2.505362,,,
43,0.119444,0.008994,-0.005159,0.040259,-0.999135,-3.760682,0.926918,2.428869,0.000000,-3.660944,0.915492,2.315614,0.850737,-3.653806,0.916520,2.537115,0.837119,-3.602709,0.909598,2.422787,0.897814,-3.941440,0.946998,2.363528,0.921243,-3.944509,0.945982,2.505303,0.753347,-3.660944,0.915492,2.315614,-3.653806,0.916520,2.537115,-3.602709,0.909598,2.422787,-3.941440,0.946998,2.363528,-3.944509,0.945982,2.505303,,,
44,0.122222,0.009301,-0.005139,0.040303,-0.999131,-3.760706,0.926755,2.428977,0.000000,-3.660967,0.915251,2.315730,0.852776,-3.653834,0.916414,2.537231,0.842378,-3.602735,0.909418,2.422908,0.893559,-3.941461,0.946810,2.363620,0.924767,-3.944533,0.945882,2.505396,0.751881,-3.660967,0.915251,2.315730,-3.653834,0.916414,2.537231,-3.602735,0.909418,2.422908,-3.941461,0.946810,2.363620,-3.944533,0.945882,2.505396,,,
45,0.125000,0.009152,-0.005331,0.040379,-0.999128,-3.760619,0.926938,2.428895,0.000000,-3.660924,0.915453,2.315608,0.859314,-3.653708,0.916546,2.537106,0.850739,-3.602652,0.909577,2.422763,0.887169,-3.941395,0.947041,2.363611,0.925303,-3.944414,0.946070,2.505388,0.744700,-3.660924,0.915453,2.315608,-3.653708,0.916546,2.537106,-3.602652,0.909577,2.422763,-3.941395,0.947041,2.363611,-3.944414,0.946070,2.505388,,,
46,0.127778,0.009076,-0.005098,0.040606,-0.999121,-3.760775,0.926805,2.428980,0.000000,-3.661031,0.915290,2.315738,0.859314,-3.653920,0.916351,2.537240,0.850739,-3.602813,0.909374,2.422920,0.887169,-3.941511,0.946999,2.363612,0.925303,-3.944598,0.946010,2.505388,0.744700,-3.661031,0.915290,2.315738,-3.653920,0.916351,2.537240,-3.602813,0.909374,2.422920,-3.941511,0.946999,2.363612,-3.944598,0.946010,2.505388,,,
47,0.130556,0.009094,-0.005313,0.040322,-0.999131,-3.760604,0.926859,2.428993,0.000000,-3.660903,0.915399,2.315708,0.851045,-3.653696,0.916467,2.537207,0.836565,-3.602635,0.909517,2.422865,0.899858,-3.941380,0.946949,2.363704,0.921917,-3.944405,0.945961,2.505481,0.753577,-3.660903,0.915399,2.315708,-3.653696,0.916467,2.537207,-3.602635,0.909517,2.422865,-3.941380,0.946949,2.363704,-3.944405,0.945961,2.505481,,,
48,0.133333,0.009086,-0.005286,0.040427,-0.999127,-3.760673,0.926901,2.428892,0.000000,-3.660968,0.915422,2.315612,0.857665,-3.653773,0.916485,2.537112,0.851561,-3.602707,0.909526,2.422772,0.889776,-3.941441,0.947030,2.363593,0.924730,-3.944474,0.946041,2.505370,0.745881,-3.660968,0.915422,2.315612,-3.653773,0.916485,2.537112,-3.602707,0.909526,2.422772,-3.941441,0.947030,2.363593,-3.944474,0.946041,2.505370,,,
49,0.136111,0.009081,-0.005384,0.040400,-0.999128,-3.760648,0.926926,2.428860,0.000000,-3.660965,0.915454,2.315561,0.851924,-3.653727,0.916514,2.537059,0.837385,-3.602683,0.909560,2.422709,0.898771,-3.941430,0.947047,2.363597,0.922966,-3.944435,0.946055,2.505375,0.754305,-3.660965,0.915454,2.315561,-3.653727,0.916514,2.537059,-3.602683,0.909560,2.422709,-3.941430,0.947047,2.363597,-3.944435,0.946055,2.505375,,,
50,0.138889,0.009256,-0.005345,0.040413,-0.999126,-3.760733,0.926901,2.428879,0.000000,-3.661043,0.915386,2.315590,0.858168,-3.653819,0.916524,2.537088,0.846222,-3.602768,0.909529,2.422744,0.900857,-3.941510,0.947003,2.363597,0.928389,-3.944524,0.946061,2.505375,0.748356,-3.661043,0.915386,2.315590,-3.653819,0.916524,2.537088,-3.602768,0.909529,2.422744,-3.941510,0.947003,2.363597,-3.944524,0.946061,2.505375,,,
51,0.141667,0.009344,-0.005381,0.040202,-0.999133,-3.760596,0.926850,2.428991,0.000000,-3.660910,0.915358,2.315696,0.857106,-3.653668,0.916537,2.537193,0.847060,-3.602624,0.909544,2.422846,0.900627,-3.941387,0.946865,2.363721,0.928214,-3.944389,0.945946,2.505499,0.751046,-3.660910,0.915358,2.315696,-3.653668,0.916537,2.537193,-3.602624,0.909544,2.422846,-3.941387,0.946865,2.363721,-3.944389,0.945946,2.505499,,,
52,0.144444,0.008894,-0.005184,0.040526,-0.999126,-3.760651,0.926827,2.429066,0.000000,-3.660923,0.915371,2.315805,0.857204,-3.653778,0.916350,2.537306,0.851739,-3.602688,0.909424,2.422975,0.888031,-3.941401,0.947017,2.363735,0.924474,-3.944465,0.945975,2.505511,0.744760,-3.660923,0.915371,2.315805,-3.653778,0.916350,2.537306,-3.602688,0.909424,2.422975,-3.941401,0.947017,2.363735,-3.944465,0.945975,2.505511,,,
53,0.147222,0.009005,-0.005125,0.040703,-0.999118,-3.760736,0.926822,2.428990,0.000000,-3.660999,0.915304,2.315742,0.856558,-3.653878,0.916332,2.537244,0.850195,-3.602777,0.909361,2.422921,0.888815,-3.941471,0.947061,2.363634,0.924644,-3.944551,0.946052,2.505409,0.745721,-3.660999,0.915304,2.315742,-3.653878,0.916332,2.537244,-3.602777,0.909361,2.422921,-3.941471,0.947061,2.363634,-3.944551,0.946052,2.505409,,,
54,0.150000,0.009225,-0.005251,0.040446,-0.999125,-3.760682,0.926901,2.428941,0.000000,-3.660971,0.915387,2.315670,0.858741,-3.653789,0.916512,2.537170,0.851740,-3.602717,0.909519,2.422835,0.887158,-3.941445,0.947019,2.363626,0.925703,-3.944487,0.946069,2.505403,0.745543,-3.660971,0.915387,2.315670,-3.653789,0.916512,2.537170,-3.602717,0.909519,2.422835,-3.941445,0.947019,2.363626,-3.944487,0.946069,2.505403,,,
55,0.152778,0.009171,-0.005368,0.040157,-0.999137,-3.760591,0.926863,2.429015,0.000000,-3.660899,0.915420,2.315720,0.858776,-3.653666,0.916523,2.537217,0.852173,-3.602617,0.909573,2.422870,0.887486,-3.941381,0.946885,2.363744,0.926333,-3.944389,0.945916,2.505522,0.745610,-3.660899,0.915420,2.315720,-3.653666,0.916523,2.537217,-3.602617,0.909573,2.422870,-3.941381,0.946885,2.363744,-3.944389,0.945916,2.505522,,,
56,0.155556,0.008986,-0.005382,0.040267,-0.999134,-3.760548,0.926886,2.429005,0.000000,-3.660861,0.915462,2.315705,0.849506,-3.653625,0.916481,2.537203,0.849508,-3.602578,0.909563,2.422852,0.893289,-3.941335,0.946972,2.363744,0.913349,-3.944341,0.945951,2.505522,0.736304,-3.660861,0.915462,2.315705,-3.653625,0.916481,2.537203,-3.602578,0.909563,2.422852,-3.941335,0.946972,2.363744,-3.944341,0.945951,2.505522,,,
57,0.158333,0.009009,-0.005230,0.040287,-0.999134,-3.760670,0.926915,2.428947,0.000000,-3.660949,0.915480,2.315677,0.849898,-3.653780,0.916513,2.537178,0.850365,-3.602699,0.909585,2.422843,0.894003,-3.941437,0.947004,2.363630,0.913557,-3.944486,0.945992,2.505407,0.739335,-3.660949,0.915480,2.315677,-3.653780,0.916513,2.537178,-3.602699,0.909585,2.422843,-3.941437,0.947004,2.363630,-3.944486,0.945992,2.505407,,,
58,0.161111,0.008919,-0.005144,0.040137,-0.999141,-3.760725,0.926863,2.428957,0.000000,-3.660980,0.915478,2.315702,0.850319,-3.653851,0.916474,2.537204,0.835553,-3.602747,0.909582,2.422877,0.898522,-3.941485,0.946908,2.363611,0.921452,-3.944559,0.945871,2.505387,0.752998,-3.660980,0.915478,2.315702,-3.653851,0.916474,2.537204,-3.602747,0.909582,2.422877,-3.941485,0.946908,2.363611,-3.944559,0.945871,2.505387,,,
59,0.163889,0.008678,-0.005097,0.040463,-0.999130,-3.760525,0.926948,2.428950,0.000000,-3.660774,0.915552,2.315702,0.864357,-3.653670,0.916438,2.537205,0.859271,-3.602558,0.909567,2.422881,0.893795,-3.941264,0.947143,2.363593,0.926336,-3.944356,0.946040,2.505367,0.763954,-3.660774,0.915552,2.315702,-3.653670,0.916438,2.537205,-3.602558,0.909567,2.422881,-3.941264,0.947143,2.363593,-3.944356,0.946040,2.505367,,,
60,0.166667,0.008926,-0.005115,0.040399,-0.999131,-3.760719,0.926891,2.428981,0.000000,-3.660973,0.915452,2.315733,0.852725,-3.653857,0.916449,2.537235,0.844027,-3.602750,0.909528,2.422912,0.894373,-3.941465,0.947030,2.363624,0.925250,-3.944548,0.945997,2.505399,0.749850,-3.660973,0.915452,2.315733,-3.653857,0.916449,2.537235,-3.602750,0.909528,2.422912,-3.941465,0.947030,2.363624,-3.944548,0.945997,2.505399,,,
61,0.169444,0.008877,-0.005326,0.040225,-0.999137,-3.760604,0.926890,2.429013,0.000000,-3.660902,0.915499,2.315722,0.850697,-3.653693,0.916472,2.537222,0.836475,-3.602632,0.909582,2.422876,0.898534,-3.941384,0.946975,2.363735,0.921532,-3.944408,0.945924,2.505511,0.751940,-3.660902,0.915499,2.315722,-3.653693,0.916472,2.537222,-3.602632,0.909582,2.422876,-3.941384,0.946975,2.363735,-3.944408,0.945924,2.505511,,,
62,0.172222,0.008825,-0.005004,0.040634,-0.999123,-3.760767,0.926870,2.429067,0.000000,-3.661000,0.915406,2.315840,0.861178,-3.653935,0.916356,2.537344,0.859342,-3.602805,0.909433,2.423031,0.909515,-3.941488,0.947106,2.363672,0.917527,-3.944605,0.946048,2.505446,0.757271,-3.661000,0.915406,2.315840,-3.653935,0.916356,2.537344,-3.602805,0.909433,2.423031,-3.941488,0.947106,2.363672,-3.944605,0.946048,2.505446,,,
63,0.175000,0.008783,-0.005100,0.040385,-0.999133,-3.760694,0.926904,2.428969,0.000000,-3.660944,0.915500,2.315722,0.858955,-3.653836,0.916433,2.537225,0.850863,-3.602725,0.909546,2.422901,0.903149,-3.941438,0.947057,2.363610,0.926299,-3.944527,0.945983,2.505385,0.770880,-3.660944,0.915500,2.315722,-3.653836,0.916433,2.537225,-3.602725,0.909546,2.422901,-3.941438,0.947057,2.363610,-3.944527,0.945983,2.505385,,,
64,0.177778,0.009079,-0.005346,0.040170,-0.999137,-3.760581,0.926930,2.429013,0.000000,-3.660884,0.915504,2.315721,0.857911,-3.653663,0.916567,2.537220,0.850953,-3.602607,0.909637,2.422873,0.900706,-3.941367,0.946968,2.363737,0.927433,-3.944382,0.945974,2.505514,0.770833,-3.660884,0.915504,2.315721,-3.653663,0.916567,2.537220,-3.602607,0.909637,2.422873,-3.941367,0.946968,2.363737,-3.944382,0.945974,2.505514,,,
65,0.180556,0.008789,-0.004937,0.040545,-0.999127,-3.760783,0.926841,2.429043,0.000000,-3.660999,0.915402,2.315829,0.859413,-3.653965,0.916339,2.537334,0.859283,-3.602817,0.909433,2.423028,0.907237,-3.941499,0.947049,2.363624,0.917109,-3.944635,0.945981,2.505398,0.756898,-3.660999,0.915402,2.315829,-3.653965,0.916339,2.537334,-3.602817,0.909433,2.423028,-3.941499,0.947049,2.363624,-3.944635,0.945981,2.505398,,,
66,0.183333,0.008965,-0.005001,0.040623,-0.999122,-3.760756,0.926874,2.429071,0.000000,-3.660989,0.915381,2.315847,0.857378,-3.653923,0.916393,2.537350,0.850260,-3.602793,0.909440,2.423039,0.902465,-3.941478,0.947088,2.363671,0.925421,-3.944594,0.946069,2.505445,0.769513,-3.660989,0.915381,2.315847,-3.653923,0.916393,2.537350,-3.602793,0.909440,2.423039,-3.941478,0.947088,2.363671,-3.944594,0.946069,2.505445,,,
67,0.186111,0.008883,-0.004979,0.040548,-0.999126,-3.760827,0.926818,2.429057,0.000000,-3.661053,0.915358,2.315836,0.854049,-3.653998,0.916336,2.537340,0.843509,-3.602861,0.909408,2.423030,0.895019,-3.941548,0.947015,2.363651,0.926356,-3.944671,0.945973,2.505426,0.751261,-3.661053,0.915358,2.315836,-3.653998,0.916336,2.537340,-3.602861,0.909408,2.423030,-3.941548,0.947015,2.363651,-3.944671,0.945973,2.505426,,,
68,0.188889,0.008858,-0.005117,0.040265,-0.999137,-3.760736,0.926888,2.428998,0.000000,-3.660988,0.915491,2.315749,0.856752,-3.653872,0.916459,2.537251,0.843354,-3.602763,0.909567,2.422927,0.904338,-3.941488,0.946988,2.363644,0.919552,-3.944571,0.945934,2.505420,0.771452,-3.660988,0.915491,2.315749,-3.653872,0.916459,2.537251,-3.602763,0.909567,2.422927,-3.941488,0.946988,2.363644,-3.944571,0.945934,2.505420,,,
69,0.191667,0.008984,-0.005037,0.040596,-0.999123,-3.760814,0.926810,2.429063,0.000000,-3.661056,0.915318,2.315832,0.858587,-3.653974,0.916339,2.537335,0.851817,-3.602852,0.909384,2.423020,0.902360,-3.941542,0.947012,2.363676,0.926614,-3.944648,0.945997,2.505451,0.769757,-3.661056,0.915318,2.315832,-3.653974,0.916339,2.537335,-3.602852,0.909384,2.423020,-3.941542,0.947012,2.363676,-3.944648,0.945997,2.505451,,,
70,0.194444,0.008688,-0.005180,0.040254,-0.999138,-3.760684,0.926925,2.428990,0.000000,-3.660948,0.915569,2.315726,0.856523,-3.653807,0.916461,2.537227,0.843321,-3.602711,0.909610,2.422895,0.904810,-3.941443,0.947044,2.363663,0.921086,-3.944510,0.945942,2.505439,0.771601,-3.660948,0.915569,2.315726,-3.653807,0.916461,2.537227,-3.602711,0.909610,2.422895,-3.941443,0.947044,2.363663,-3.944510,0.945942,2.505439,,,
71,0.197222,0.009027,-0.005307,0.040234,-0.999135,-3.760585,0.926875,2.429081,0.000000,-3.660880,0.915448,2.315796,0.855336,-3.653677,0.916488,2.537295,0.856129,-3.602613,0.909562,2.422953,0.900619,-3.941363,0.946943,2.363792,0.914806,-3.944391,0.945935,2.505569,0.757404,-3.660880,0.915448,2.315796,-3.653677,0.916488,2.537295,-3.602613,0.909562,2.422953,-3.941363,0.946943,2.363792,-3.944391,0.945935,2.505569,,,
72,0.200000,0.008973,-0.005274,0.040396,-0.999130,-3.760645,0.926935,2.429013,0.000000,-3.660936,0.915487,2.315735,0.854080,-3.653748,0.916501,2.537234,0.843823,-3.602678,0.909571,2.422895,0.894602,-3.941412,0.947068,2.363713,0.925231,-3.944450,0.946047,2.505490,0.750976,-3.660936,0.915487,2.315735,-3.653748,0.916501,2.537234,-3.602678,0.909571,2.422895,-3.941412,0.947068,2.363713,-3.944450,0.946047,2.505490,,,
73,0.202778,0.008865,-0.005174,0.040328,-0.999134,-3.760662,0.926939,2.429026,0.000000,-3.660927,0.915529,2.315765,0.852717,-3.653786,0.916498,2.537266,0.843185,-3.602691,0.909599,2.422936,0.893153,-3.941418,0.947061,2.363692,0.926024,-3.944485,0.946010,2.505468,0.750878,-3.660927,0.915529,2.315765,-3.653786,0.916498,2.537266,-3.602691,0.909599,2.422936,-3.941418,0.947061,2.363692,-3.944485,0.946010,2.505468,,,
74,0.205556,0.008807,-0.005056,0.040677,-0.999121,-3.760758,0.926836,2.429077,0.000000,-3.661004,0.915368,2.315840,0.859533,-3.653916,0.916309,2.537343,0.851076,-3.602798,0.909386,2.423024,0.901082,-3.941484,0.947091,2.363701,0.927323,-3.944586,0.946027,2.505475,0.772223,-3.661004,0.915368,2.315840,-3.653916,0.916309,2.537343,-3.602798,0.909386,2.423024,-3.941484,0.947091,2.363701,-3.944586,0.946027,2.505475,,,
75,0.208333,0.009045,-0.005344,0.040352,-0.999130,-3.760618,0.926932,2.429004,0.000000,-3.660924,0.915478,2.315712,0.853754,-3.653704,0.916523,2.537211,0.843803,-3.602650,0.909582,2.422865,0.895768,-3.941396,0.947041,2.363728,0.924685,-3.944413,0.946038,2.505505,0.750964,-3.660924,0.915478,2.315712,-3.653704,0.916523,2.537211,-3.602650,0.909582,2.422865,-3.941396,0.947041,2.363728,-3.944413,0.946038,2.505505,,,
76,0.211111,0.008977,-0.005112,0.040550,-0.999124,-3.760749,0.926852,2.429073,0.000000,-3.661006,0.915372,2.315827,0.853601,-3.653890,0.916389,2.537329,0.844859,-3.602785,0.909441,2.423007,0.895069,-3.941488,0.947039,2.363714,0.924986,-3.944572,0.946021,2.505489,0.751334,-3.661006,0.915372,2.315827,-3.653890,0.916389,2.537329,-3.602785,0.909441,2.423007,-3.941488,0.947039,2.363714,-3.944572,0.946021,2.505489,,,
77,0.213889,0.009110,-0.005313,0.040486,-0.999124,-3.760693,0.926854,2.429029,0.000000,-3.660996,0.915358,2.315745,0.860236,-3.653789,0.916431,2.537243,0.851611,-3.602730,0.909461,2.422901,0.888741,-3.941463,0.947002,2.363739,0.926721,-3.944488,0.946020,2.505516,0.745811,-3.660996,0.915358,2.315745,-3.653789,0.916431,2.537243,-3.602730,0.909461,2.422901,-3.941463,0.947002,2.363739,-3.944488,0.946020,2.505516,,,
78,0.216667,0.009189,-0.005224,0.040625,-0.999119,-3.760710,0.926826,2.429052,0.000000,-3.660996,0.915283,2.315787,0.854572,-3.653827,0.916391,2.537287,0.844822,-3.602751,0.909387,2.422955,0.896233,-3.941462,0.947012,2.363727,0.925414,-3.944513,0.946054,2.505504,0.751874,-3.660996,0.915283,2.315787,-3.653827,0.916391,2.537287,-3.602751,0.909387,2.422955,-3.941462,0.947012,2.363727,-3.944513,0.946054,2.505504,,,
79,0.219444,0.009093,-0.005337,0.040240,-0.999134,-3.760666,0.926909,2.429029,0.000000,-3.660969,0.915466,2.315738,0.853308,-3.653751,0.916534,2.537237,0.844075,-3.602695,0.909593,2.422892,0.893512,-3.941449,0.946970,2.363749,0.926462,-3.944467,0.945980,2.505526,0.751033,-3.660969,0.915466,2.315738,-3.653751,0.916534,2.537237,-3.602695,0.909593,2.422892,-3.941449,0.946970,2.363749,-3.944467,0.945980,2.505526,,,
80,0.222222,0.009033,-0.005239,0.040627,-0.999120,-3.760710,0.926836,2.429058,0.000000,-3.660998,0.915328,2.315788,0.851502,-3.653825,0.916367,2.537288,0.838056,-3.602750,0.909399,2.422952,0.898044,-3.941463,0.947044,2.363743,0.921749,-3.944511,0.946042,2.505519,0.753188,-3.660998,0.915328,2.315788,-3.653825,0.916367,2.537288,-3.602750,0.909399,2.422952,-3.941463,0.947044,2.363743,-3.944511,0.946042,2.505519,,,
81,0.225000,0.009323,-0.005046,0.040633,-0.999118,-3.760712,0.926805,2.429166,0.000000,-3.660959,0.915229,2.315938,0.860158,-3.653867,0.916400,2.537441,0.853381,-3.602750,0.909364,2.423128,0.887480,-3.941441,0.946976,2.363773,0.926263,-3.944541,0.946058,2.505549,0.746238,-3.660959,0.915229,2.315938,-3.653867,0.916400,2.537441,-3.602750,0.909364,2.423128,-3.941441,0.946976,2.363773,-3.944541,0.946058,2.505549,,,
82,0.227778,0.009229,-0.005424,0.040188,-0.999135,-3.760512,0.926889,2.429079,0.000000,-3.660834,0.915426,2.315774,0.852054,-3.653575,0.916554,2.537271,0.851013,-3.602540,0.909588,2.422918,0.893716,-3.941308,0.946915,2.363828,0.915020,-3.944299,0.945962,2.505606,0.739729,-3.660834,0.915426,2.315774,-3.653575,0.916554,2.537271,-3.602540,0.909588,2.422918,-3.941308,0.946915,2.363828,-3.944299,0.945962,2.505606,,,
83,0.230556,0.009110,-0.005074,0.040732,-0.999116,-3.760633,0.926838,2.429102,0.000000,-3.660887,0.915291,2.315866,0.854354,-3.653786,0.916365,2.537368,0.844558,-3.602676,0.909368,2.423051,0.895664,-3.941361,0.947073,2.363725,0.925720,-3.944455,0.946095,2.505500,0.750995,-3.660887,0.915291,2.315866,-3.653786,0.916365,2.537368,-3.602676,0.909368,2.423051,-3.941361,0.947073,2.363725,-3.944455,0.946095,2.505500,,,
84,0.233333,0.009077,-0.005353,0.040432,-0.999127,-3.760650,0.926890,2.429056,0.000000,-3.660961,0.915412,2.315763,0.859970,-3.653737,0.916471,2.537261,0.853459,-3.602686,0.909514,2.422914,0.888909,-3.941427,0.947023,2.363781,0.926606,-3.944441,0.946030,2.505558,0.746991,-3.660961,0.915412,2.315763,-3.653737,0.916471,2.537261,-3.602686,0.909514,2.422914,-3.941427,0.947023,2.363781,-3.944441,0.946030,2.505558,,,
85,0.236111,0.008973,-0.005202,0.040820,-0.999113,-3.760558,0.926861,2.429125,0.000000,-3.660842,0.915327,2.315861,0.854203,-3.653687,0.916338,2.537362,0.845114,-3.602605,0.909363,2.423030,0.894215,-3.941298,0.947146,2.363797,0.925089,-3.944358,0.946129,2.505573,0.751179,-3.660842,0.915327,2.315861,-3.653687,0.916338,2.537362,-3.602605,0.909363,2.423030,-3.941298,0.947146,2.363797,-3.944358,0.946129,2.505573,,,
86,0.238889,0.009235,-0.005509,0.040237,-0.999132,-3.760482,0.926872,2.429115,0.000000,-3.660825,0.915399,2.315793,0.862367,-3.653529,0.916527,2.537288,0.858665,-3.602513,0.909556,2.422927,0.895416,-3.941288,0.946915,2.363894,0.926157,-3.944255,0.945964,2.505672,0.765668,-3.660825,0.915399,2.315793,-3.653529,0.916527,2.537288,-3.602513,0.909556,2.422927,-3.941288,0.946915,2.363894,-3.944255,0.945964,2.505672,,,
87,0.241667,0.009069,-0.005486,0.040202,-0.999135,-3.760498,0.926876,2.429140,0.000000,-3.660834,0.915447,2.315820,0.857956,-3.653550,0.916503,2.537316,0.851867,-3.602527,0.909572,2.422956,0.889661,-3.941301,0.946928,2.363914,0.925278,-3.944277,0.945930,2.505692,0.745609,-3.660834,0.915447,2.315820,-3.653550,0.916503,2.537316,-3.602527,0.909572,2.422956,-3.941301,0.946928,2.363914,-3.944277,0.945930,2.505692,,,
88,0.244444,0.009416,-0.005471,0.040444,-0.999123,-3.760557,0.926933,2.429047,0.000000,-3.660897,0.915377,2.315735,0.861299,-3.653615,0.916583,2.537230,0.853726,-3.602594,0.909549,2.422875,0.888122,-3.941350,0.947026,2.363806,0.927606,-3.944327,0.946128,2.505585,0.746735,-3.660897,0.915377,2.315735,-3.653615,0.916583,2.537230,-3.602594,0.909549,2.422875,-3.941350,0.947026,2.363806,-3.944327,0.946128,2.505585,,,
89,0.247222,0.009081,-0.005437,0.040389,-0.999128,-3.760473,0.926877,2.429170,0.000000,-3.660802,0.915407,2.315860,0.849890,-3.653540,0.916467,2.537357,0.849264,-3.602508,0.909514,2.423002,0.892578,-3.941262,0.946995,2.363926,0.913586,-3.944253,0.946002,2.505703,0.737292,-3.660802,0.915407,2.315860,-3.653540,0.916467,2.537357,-3.602508,0.909514,2.423002,-3.941262,0.946995,2.363926,-3.944253,0.946002,2.505703,,,
90,0.250000,0.008996,-0.005113,0.040739,-0.999116,-3.760521,0.926894,2.429149,0.000000,-3.660782,0.915372,2.315903,0.855076,-3.653666,0.916395,2.537405,0.844363,-3.602564,0.909423,2.423083,0.896386,-3.941253,0.947147,2.363788,0.925499,-3.944337,0.946136,2.505564,0.751738,-3.660782,0.915372,2.315903,-3.653666,0.916395,2.537405,-3.602564,0.909423,2.423083,-3.941253,0.947147,2.363788,-3.944337,0.946136,2.505564,,,
91,0.252778,0.009091,-0.005234,0.040476,-0.999126,-3.760483,0.926923,2.429090,0.000000,-3.660767,0.915432,2.315821,0.855076,-3.653596,0.916499,2.537321,0.844363,-3.602519,0.909533,2.422987,0.896386,-3.941242,0.947069,2.363771,0.925499,-3.944290,0.946082,2.505548,0.751738,-3.660767,0.915432,2.315821,-3.653596,0.916499,2.537321,-3.602519,0.909533,2.422987,-3.941242,0.947069,2.363771,-3.944290,0.946082,2.505548,,,
